Partido,Campo ideológico,Posição
AVANTE – AVANTE,Trabalhista,Centro esquerda
DC – DEMOCRATA CRISTÃO,Cristão,Direita
DEM – DEMOCRATAS,Conservador,Centro direita
MDB – MOVIMENTO DEMOCRÁTICO BRASILEIRO,Conservador,Centro direita
NOVO – PARTIDO NOVO,Liberal,Direita
PATRIOTAS,Conservador,Centro direita
PCB – PARTIDO COMUNISTA BRASILEIRO,Extrema esquerda,Extrema esquerda
PCdoB – PARTIDO COMUNISTA DO BRASIL,Socialista,Esquerda
PCO – PARTIDO DA CAUSA OPERÁRIA,Extrema esquerda,Extrema esquerda
PDT – PARTIDO DEMOCRÁTICO TRABALHISTA,Trabalhista,Centro esquerda
PL – PARTIDO LIBERAL,Liberal,Direita
PMB – PARTIDO DA MULHER BRASILEIRA,Indefinido,Indefinido
PMN – PARTIDO DA MOBILIZAÇÃO NACIONAL,Indefinido,Indefinido
PODE – PODEMOS,Conservador,Centro direita
PP – PROGRESSISTAS,Conservador,Centro direita
CIDADANIA,Socialista,Esquerda
REPUBLICANOS,Cristão,Direita
PROS – PARTIDO REPUBLICANO DA ORDEM SOCIAL,Conservador,Centro direita
PRTB – PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,Trabalhista,Centro esquerda
PSB – PARTIDO SOCIALISTA BRASILEIRO,Socialista,Esquerda
PSC – PARTIDO SOCIAL CRISTÃO,Cristão,Direita
PSD – PARTIDO SOCIAL DEMOCRÁTICO,Social democrata,Centro esquerda
PSDB – PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,Social democrata,Centro esquerda
PSL – PARTIDO SOCIAL LIBERAL,Conservador,Centro direita
PSOL – PARTIDO SOCIALISMO E LIBERDADE,Socialista,Esquerda
PSTU – PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,Extrema esquerda,Extrema esquerda
PT – PARTIDO DOS TRABALHADORES,Socialista,Esquerda
PTB – PARTIDO TRABALHISTA BRASILEIRO,Trabalhista,Centro esquerda
PTC – PARTIDO TRABALHISTA CRISTÃO,Trabalhista,Centro esquerda
PV – PARTIDO VERDE,Ambientalista,Centro esquerda
REDE – REDE SUSTENTABILIDADE,Ambientalista,Centro esquerda
SD – SOLIDARIEDADE,Trabalhista,Centro esquerda
UP – UNIDADE POPULAR,Socialista,Esquerda
